age,artist,designer,dominio,imagem,mecanicas,media,notaRank,notas,numOfPlayers,position,timeOfPlay,title,year
 8 + ,"Harald Bilz,Jochen Eeuwyk,Selami Ileman,Christian Pearce,Paolo Vallerga",Walter Obert,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/424_t.jpg,"Atuação,Colocação de Peças,Construção a partir de Modelo,Jogo em Equipe,Tempo real",6.58,6.28,33,4 a 8 jogadores ,2177º,45 min,Ugg-Tect, (2009)
 10 + ,Franz Vohwinkel,Michael Rieneck,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1902_t.jpg,Cooperativo,7.18,6.29,11,2 a 4 jogadores ,2170º,60 min,Witch of Salem, (2008)
 10 + ,"Harald Lieske,Felix Scheinberger","Tobias Goslar,Roland Goslar",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/4790_t.jpg,"Colocação de Peças,Movimento Ponto-a-Ponto,Tabuleiro Modular",7.05,6.29,13,3 a 4 jogadores ,2169º,60 min,Lost Valley, (2004)
 12 + ,John Howe,Reiner Knizia,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/588_t.jpg,"Ação Simultânea,Gestão de Mão,Leilão,Seleção de Cartas,Force sua sorte",7.04,6.29,13,2 a 5 jogadores ,2173º,60 min,Beowulf: The Legend, (2005)
 10 + ,Kevin Childress,"Reiner Knizia,Jeff Tidball",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/589_t.jpg,Colocação de Peças,6.89,6.29,16,2 a 4 jogadores ,2176º,30 min,Beowulf: The Movie Board Game, (2007)
 8 + ,Michael Menzel,Stefan Feld,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/117_t.jpg,"Gestão de Mão,Rolagem de Dados,Seleção de Cartas,Sistema de Pontos de Ação",6.87,6.29,17,2 jogadores ,2167º,45 min,Roma, (2005)
 13 + ,Jocularis,Matteo Santus,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/2059_t.jpg,"Ação / Movimento Programado,Cooperativo,Movimento de Área,Movimento Ponto-a-Ponto",7.20,6.30,11,1 a 6 jogadores ,2165º,90 min,Carnival Zombie, (2013)
 8 + ,Harald Lieske,Thorsten Gimmler,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1388_t.jpg,"Ação Simultânea,Gestão de Mão,Controle/Influência de Área",6.71,6.30,24,2 jogadores ,2162º,30 min,Aton, (2006)
 10 + ,Hugo Pratt,"Laurent Escoffier,Sébastien Pauchon",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/2001_t.jpg,"Gestão de Mão,Controle/Influência de Área,Tabuleiro Modular",7.06,6.30,13,2 a 4 jogadores ,2163º,30 min,Corto, (2013)
 8 + ,Atha Kanaani,Florian Fay,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/19266_t.jpg,"Colocação de Peças,Seleção de Cartas,Tempo real",6.65,6.30,28,2 a 6 jogadores ,2161º,20 min,Mesozooic, (2018)
 0 + ,Adam P. McIver,Adam P. McIver,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/2251_t.jpg,"Controle/Influência de Área,Rolagem de Dados,Sistema de Pontos de Ação",6.57,6.29,35,2 jogadores ,2172º,15 min,Coin Age, (2014)
 7 + ,Warleson Oliveira,,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/26669_t.jpg,Vazas/Truques,7.30,6.30,10,2 a 10 jogadores ,2158º,15 min,Uno Minimalista, (2020)
 8 + ,,Anthony E. Pratt,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1187_t.jpg,"Gestão de Mão,Movimento Ponto-a-Ponto,Papel e Caneta,Rolar e Mover,Blefe,Dedução",6.31,6.30,792,3 a 8 jogadores ,2159º,45 min,Detetive, (1949)
 12 + ,Christopher Kirkman,Ben Rosset,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/7673_t.jpg,"Ação / Movimento Programado,Alocação de Trabalhadores,Negociação",6.86,6.29,17,2 a 5 jogadores ,2171º,90 min,Brew Crafters: The Travel Card Game, (2015)
 13 + ,"Ricky Casdorph,Ryan Lesser",Jeff Gracia,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/447_t.jpg,"Colocação de Peças,Jogadores com Diferentes Habilidades,Rolagem de Dados,RPG,Tabuleiro Modular,Movimento em Grades,Seleção de Cartas",7.30,6.30,10,1 a 4 jogadores ,2157º,100 min,Zpocalypse, (2013)
 8 + ,Franz Vohwinkel,"Henrik Berg,Ase Berg",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1025_t.jpg,"Colocação de Peças,Controle/Influência de Área",7.19,6.29,11,2 a 4 jogadores ,2166º,45 min,Oregon, (2007)
 8 + ,Nicolas Neubauer,Grzegorz Rejchtman,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/5544_t.jpg,"Construção a partir de Modelo,Tempo real",6.95,6.29,15,2 a 4 jogadores ,2168º,30 min,Ubongo Extreme, (2007)
 10 + ,Ulisses Silva de Sousa,"Bruno Teixeira Maia,Filipe Franklin Romualdo,Ulisses Silva de Sousa",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/4229_t.jpg,"Gestão de Mão,Vazas/Truques,Campanha/ Batalhas Dirigidas por Cartas,Jogadores com Diferentes Habilidades,Jogo em Equipe,Force sua sorte,Blefe",6.65,6.30,28,2 a 9 jogadores ,2160º,45 min,Reinos & Relíquias - Entre Luz e Trevas, (2015)
 14 + ,,,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/9418_t.jpg,Apostas,6.54,6.30,41,2 a 6 jogadores ,2155º,60 min,Quest Volume 2, (2014)
 12 + ,"Helio Greca,Sputnik studio",Helio Greca,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/262_t.jpg,Gestão de Mão,6.54,6.30,43,4 a 8 jogadores ,2151º,30 min,Dungeon Monsters, (2012)
 10 + ,Andrzej Sykut,"Grzegorz Kalarus,Sebastian Oliwa,Seweryn Piotrowski",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/6035_t.jpg,"Colocação de Peças,Construção a partir de Modelo,Controle/Influência de Área",7.31,6.30,10,2 a 4 jogadores ,2154º,45 min,Galaxy of Trian, (2014)
 12 + ,Kwanchai Moriya,"Ryan Amos,Marc Kelsey,Aron West",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/3006_t.jpg,"Eliminação de Jogadores,Jogadores com Diferentes Habilidades,Jogo em Equipe,RPG",7.01,6.30,14,2 a 5 jogadores ,2156º,30 min,Catacombs, (2010)
 8 + ,"German Nobile,Guillaume Rohmer,Emmanuel Roudier",Bruno Faidutti,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/3905_t.jpg,"Gestão de Mão,Colecionar Componentes,Negociação",6.81,6.30,20,3 a 6 jogadores ,2153º,45 min,Dragon's Gold, (2001)
 10 + ,Jacob Walker,"Asger Harding Granerud,Daniel Skjold Pedersen",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13259_t.jpg,"Campanha/ Batalhas Dirigidas por Cartas,Controle/Influência de Área,Gestão de Mão",7.06,6.31,14,2 jogadores ,2128º,13 min,13 Minutes: The Cuban Missile Crisis, (2017)
 10 + ,Will Terry,Keith Meyers,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1484_t.jpg,"Gestão de Mão,Reconhecimento de Padrão,Blefe",6.97,6.31,16,2 a 4 jogadores ,2129º,20 min,Tiki Topple, (2008)
 8 + ,,"Tom Braunlich,Gary Gabrel",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/6945_t.jpg,"Colocação de Peças,Controle/Influência de Área",7.06,6.30,13,2 a 6 jogadores ,2164º,30 min,Pente, (1977)
 14 + ,,Fábio Melo,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/11415_t.jpg,"Eliminação de Jogadores,Jogadores com Diferentes Habilidades,Movimento em Grades,Tabuleiro Modular",7.07,6.31,14,2 a 5 jogadores ,2125º,60 min,Gasolina de Sangue Board Game, (2016)
 10 + ,,"Matt Hyra,Cory Jones",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/5225_t.jpg,Gestão de Mão,6.44,6.32,85,2 jogadores ,2124º,30 min,Adventure Time Card Wars: Finn vs. Jake, (2014)
 8 + ,"Cyrille Daujean,Julien Delval,Swen Papenbrock,Markus Wagner","Paul Randles,Daniel Stahl",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/559_t.jpg,"Ação Simultânea,Gestão de Mão,Rolagem de Dados",6.63,6.30,31,3 a 5 jogadores ,2152º,90 min,Pirate's Cove, (2002)
 13 + ,Jacoby O'Connor,"Dominic Crapuchettes,Satish Pillalamarri",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/7828_t.jpg,"Apostas,Papel e Caneta",7.14,6.32,13,3 a 8 jogadores ,2119º,30 min,Say Anything, (2008)
 6 + ,,,Jogos Infantis,https://storage.googleapis.com/ludopedia-capas/10347_t.jpg,"Colocação de Peças,Construção de Rotas",7.37,6.31,10,2 a 4 jogadores ,2126º,25 min,Labirinto - Turma da Mônica, (2012)
 10 + ,"Oscar Martin,Miguel S. Babiano","Muntsa Corbella,Gustavo Mariano",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/23017_t.jpg,"Colocação de Peças,Gestão de Mão",7.28,6.32,11,2 a 4 jogadores ,2123º,45 min,Karekare, (2019)
 8 + ,"Ali Douglas,Jacoby O'Connor",Dominic Crapuchettes,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/439_t.jpg,Apostas,7.08,6.32,14,4 a 18 jogadores ,2121º,25 min,Wits & Wagers Party, (2012)
 10 + ,,,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10014_t.jpg,"Controle/Influência de Área,Movimento de Área,Rolagem de Dados",6.66,6.32,31,3 a 6 jogadores ,2120º,120 min,War Edição 25 Anos Luxo, (1997)
 12 + ,"Enggar Adirasa,Agnieszka Kopera,Odysseas Stamoglou",Pierluca Zizzi,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8712_t.jpg,"Alocação de Trabalhadores,Colocação de Peças,Tabuleiro Modular",7.38,6.32,10,2 a 5 jogadores ,2122º,90 min,Simurgh, (2015)
 8 + ,Markus Erdt,Richard Garfield,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/9018_t.jpg,"Ação Simultânea,Gestão de Mão,Force sua sorte,Seleção de Cartas",7.09,6.32,14,2 a 6 jogadores ,2117º,35 min,Treasure Hunter, (2015)
 12 + ,"Chris Quilliams,Claus Schobig","Hagen Dorgathen,Uwe Rosenberg",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1113_t.jpg,"Colecionar Componentes,Sistema de Pontos de Ação",7.22,6.32,12,2 jogadores ,2116º,45 min,Babel, (2000)
 16 + ,,"Pablo Abraham,Saul Tamborena,Celso Zanini",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8473_t.jpg,"Ação Simultânea,Gestão de Mão,Atuação,Eliminação de Jogadores,Jogadores com Diferentes Habilidades,Seleção de Cartas,Sistema de Pontos de Ação,Toma essa,Blefe",6.89,6.32,19,2 a 4 jogadores ,2113º,35 min,Zueira Never Ends, (2015)
 13 + ,Milan Vavron,Vladimír Suchý,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/2628_t.jpg,"Colocação de Peças,Leilão,Movimento Ponto-a-Ponto",6.99,6.32,16,3 a 5 jogadores ,2118º,120 min,20th Century, (2010)
 6 + ,,,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/9108_t.jpg,"Memória,Rolagem de Dados",6.44,6.32,90,2 a 6 jogadores ,2115º,15 min,Fruit Salad, (2015)
 10 + ,Josh Cappel,"Josh Cappel,Adam Gertzbein",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1474_t.jpg,"Gestão de Mão,Colocação de Peças,Construção de Baralho/Peças",7.23,6.32,12,2 a 4 jogadores ,2109º,45 min,Wasabi!, (2008)
 10 + ,Volkan Baga,Thomas Lehmann,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/5480_t.jpg,"Construção a partir de Modelo,Rolagem de Dados,Seleção de Cartas",7.41,6.32,10,2 a 5 jogadores ,2111º,45 min,To Court the King, (2006)
 12 + ,"Vincent Dutrait,Franz Vohwinkel","Richard Borg,Mike Fitzgerald",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/5637_t.jpg,"Gestão de Mão,Colecionar Componentes",7.19,6.31,12,2 a 4 jogadores ,2127º,60 min,Wyatt Earp, (2001)
 18 + ,David Hueso,Christophe Boelinger,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/5617_t.jpg,Vazas/Truques,6.52,6.32,57,5 a 9 jogadores ,2107º,25 min,Illegal, (2014)
 10 + ,,,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/7671_t.jpg,"Ação Simultânea,Jogo em Equipe,Memória,Papel e Caneta,Linha de Tempo",7.11,6.32,14,2 a 8 jogadores ,2105º,60 min,Focus, (1980)
 8 + ,"Jessica R. E. Bethke,Design Edge,Paul Herbert,Elisa Teague,Markus Wagner",Reiner Knizia,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/4177_t.jpg,"Gestão de Mão,Vazas/Truques",6.86,6.32,20,3 a 6 jogadores ,2114º,30 min,Friday the 13th, (2005)
 5 + ,Rolf Vogt,"Inka Brand,Markus Brand",Jogos Infantis,https://storage.googleapis.com/ludopedia-capas/9875_t.jpg,"Rolagem de Dados,Rolar e Mover,Blefe",6.60,6.32,40,2 a 4 jogadores ,2106º,25 min,The Enchanted Tower, (2012)
 12 + ,Giulia Ghigini,"Mario Porpora,Pietro Righi Riva,Luca Francesco Rossi,Nicolò Tedeschi",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/2128_t.jpg,"Jogo em Equipe,Movimento de Área,Papel e Caneta,Posicionamento Secreto",7.23,6.32,12,2 a 8 jogadores ,2112º,20 min,Escape from the Aliens in Outer Space, (2010)
 12 + ,"Paul Adam,Justin Brunetto,Curt Covert,Ian Field-Richards,Henri Härkönen,Noel Hill,Mats Holmgren,Mark Jernstrom,Bruno Krippahl,Eric R. Martin,Steve Messenger,Loïc Muzy,Morgan Rashand,Chad Savage,William Teo,Adam Vehige,Tim Wollweber",Curt Covert,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/3795_t.jpg,"Ação Simultânea,Gestão de Mão,Eliminação de Jogadores,RPG",7.11,6.32,14,3 a 6 jogadores ,2104º,90 min,Cutthroat Caverns, (2007)
 7 + ,"John Kovalic,Ariel Laden,Jürgen Martens",Reinhard Staupe,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1209_t.jpg,"Reconhecimento de Padrão,Tempo real",6.76,6.32,25,2 a 3 jogadores ,2110º,2 min,Blink, (1995)
 12 + ,Antonis Papantoniou,"Dimitris Drakopoulos,Konstantinos Kokkinis",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/155_t.jpg,"Colecionar Componentes,Alocação de Trabalhadores,Seleção de Cartas,Votação",6.94,6.33,18,2 a 4 jogadores ,2102º,90 min,Drum Roll, (2011)
 10 + ,"Bernard Bittler,Trevor Dunton",Rüdiger Koltze,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1137_t.jpg,"Ação Simultânea,Leilão,Blefe",6.72,6.34,30,3 a 5 jogadores ,2087º,45 min,You're Bluffing! (Koe Handel), (1985)
 14 + ,Eduardo Garcia,Andrew Federspiel,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8822_t.jpg,"Jogadores com Diferentes Habilidades,Movimento em Grades,Sistema de Pontos de Ação,Blefe,Dedução",7.18,6.33,13,2 a 4 jogadores ,2101º,30 min,Apotheca, (2016)
 10 + ,,"André Zatz,Sérgio Halaban",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/578_t.jpg,"Controle/Influência de Área,Movimento de Área,Rolagem de Dados",6.36,6.32,337,3 a 4 jogadores ,2108º,120 min,WAR: Império Romano, (2007)
 8 + ,Gabriela Silveira,Jacques Zeimet,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/6570_t.jpg,"Reconhecimento de Padrão,Tempo real",7.37,6.34,11,2 a 8 jogadores ,2086º,30 min,Geistesblitz 2.0, (2012)
 14 + ,"Pennie Barbel,Paul Niemeyer,Jacoby O'Connor","Don Beyer,Ray Eifler,Steve Gross",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/235_t.jpg,"Ação Simultânea,Negociação,Seleção de Cartas,Controle/Influência de Área",6.85,6.34,22,3 a 6 jogadores ,2088º,120 min,Bootleggers, (2004)
 14 + ,"Herman Haverkort,Tamara Jannink,Joris Wiersinga","Jeroen Doumen,Joris Wiersinga",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/3518_t.jpg,"Alocação de Trabalhadores,Pegar e Entregar",7.49,6.34,10,3 a 5 jogadores ,2080º,120 min,Bus: 20th Anniversary Edition, (1999)
 15 + ,,,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8437_t.jpg,"Controle/Influência de Área,Tabuleiro Modular",7.06,6.33,15,2 a 4 jogadores ,2103º,45 min,Portal: The Uncooperative Cake Acquisition Game, (2015)
 10 + ,"Arnaud Demaegd,Stefano Susini",Emanuele Ornella,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1834_t.jpg,"Cerco de Área,Colecionar Componentes,Movimento em Grades,Blefe,Dedução",7.22,6.34,13,2 jogadores ,2082º,30 min,Martinique, (2009)
 12 + ,Dennis Lohausen,Martin Wallace,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1914_t.jpg,"Colecionar Componentes,Construção de Rotas,Leilão,Pegar e Entregar",7.49,6.34,10,2 a 4 jogadores ,2079º,90 min,First Train to Nuremberg, (2010)
 8 + ,,Richard James,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/2927_t.jpg,"Gestão de Mão,Force sua sorte",7.48,6.34,10,2 a 6 jogadores ,2084º,30 min,Straw, (2006)
 8 + ,Klemens Franz,Helmut Ohley,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/7730_t.jpg,Construção de Rotas,7.38,6.34,11,2 jogadores ,2083º,30 min,Trambahn, (2015)
 13 + ,"Lane Brown,Marco Bucci,Dave Burke,Eddy Boxerman","Eddy Boxerman,Dave Burke",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9945_t.jpg,"Gestão de Mão,Construção de Baralho/Peças,Seleção de Cartas,Toma essa,Colecionar Componentes",7.23,6.34,13,2 a 4 jogadores ,2077º,60 min,Karmaka, (2016)
 8 + ,,(Uncredited),,https://storage.googleapis.com/ludopedia-capas/1230_t.jpg,"Memória,Posicionamento Secreto,Blefe,Dedução",6.53,6.34,62,2 jogadores ,2076º,30 min,Stratego (Revised Edition), (2008)
 10 + ,Roc Espinet,Luis Ranedo,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/19577_t.jpg,"Alocação de Trabalhadores,Controle/Influência de Área,Rolagem de Dados",6.80,6.34,25,2 a 4 jogadores ,2078º,45 min,Silk, (2018)
 14 + ,Banu Andaru,Tom Cleaver,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/5529_t.jpg,"Gestão de Mão,Construção de Baralho/Peças",7.18,6.35,14,2 a 4 jogadores ,2073º,45 min,Valley of the Kings, (2014)
 3 + ,Vanessa Prezoto,"Isabel Butcher,Tânia Zaverucha do Valle",Jogos Infantis,https://storage.googleapis.com/ludopedia-capas/16316_t.jpg,"Colecionar Componentes,Reconhecimento de Padrão",7.24,6.34,13,2 a 4 jogadores ,2075º,15 min,Quero-Quero, (2019)
 10 + ,Wen Yu Li,Anima Studio,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1338_t.jpg,"Gestão de Mão,Rolagem de Dados,Seleção de Cartas",7.51,6.35,10,2 a 5 jogadores ,2074º,60 min,Anima: Shadow of Omega Revised Edition, (2006)
 6 + ,"Cyrille Daujean,Jean-Baptiste Reynaud",Alan R. Moon,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/11170_t.jpg,"Gestão de Mão,Colecionar Componentes,Construção de Rotas",7.25,6.35,13,2 a 4 jogadores ,2072º,30 min,Ticket to Ride: First Journey (U.S.), (2016)
 12 + ,"Szucs Gregory,Chris Seaman,Justin Walsh","Michael A. Brown,Stephen McLaughlin",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1493_t.jpg,Rolagem de Dados,6.90,6.35,21,2 a 4 jogadores ,2069º,5 min,Anachronism, (2005)
 12 + ,,Rob Angel,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/2585_t.jpg,"Desenhar,Jogo em Equipe,Rolar e Mover",6.73,6.34,29,3 a 16 jogadores ,2085º,90 min,Pictionary, (1985)
 12 + ,François Launet,Klaus Westerhoff,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/2471_t.jpg,"Gestão de Mão,Colocação de Peças,Construção a partir de Modelo,Reconhecimento de Padrão,Tabuleiro Modular",7.53,6.35,10,2 a 4 jogadores ,2068º,55 min,The Stars Are Right, (2008)
 14 + ,"Miguel Coimbra,Nicolas Fructus,Christophe Madura",Gioacchino Prestigiacomo,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/377_t.jpg,"Pegar e Entregar,Especulação Financeira,Movimento de Área,Rolagem de Dados,Tabuleiro Modular",7.19,6.35,14,2 a 5 jogadores ,2067º,180 min,Sky Traders, (2012)
 14 + ,Casey Davies,Andrew Haught,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9316_t.jpg,"Cooperativo,Jogadores com Diferentes Habilidades,Rolagem de Dados",7.43,6.35,11,2 a 4 jogadores ,2066º,120 min,Doctor Who: Time of the Daleks, (2017)
 12 + ,"Eckhard Freytag,Renate Seelig,Markus Wagner",Stefan Dorra,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1777_t.jpg,"Controle/Influência de Área,Leilão,Blefe,Negociação",7.04,6.35,17,3 a 5 jogadores ,2071º,60 min,Intrigue, (1994)
 9 + ,,Alfons Rubbens,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/12157_t.jpg,"Leilão,Rolar e Mover",7.09,6.35,16,2 a 6 jogadores ,2064º,90 min,Status, (1967)
 8 + ,Stephanie Gustafsson,Jeffrey D. Allers,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/12612_t.jpg,"Colecionar Componentes,Leilão",7.44,6.35,11,2 a 6 jogadores ,2061º,30 min,New York Slice, (2017)
 12 + ,"Marie Cardouat,David Chircop,Todd Sanders","David Chircop,Yannick Massa",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/8896_t.jpg,"Gestão de Mão,Cooperativo,Movimento de Área,Movimento em Grades",7.11,6.34,15,2 jogadores ,2081º,45 min,"...and then, we held hands.", (2015)
 10 + ,,"Sébastien Gigaudaut,David Rakoto,Nikki Valens",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/4627_t.jpg,"Gestão de Mão,Jogadores com Diferentes Habilidades,Construção de Baralho/Peças,Blefe,Campanha/ Batalhas Dirigidas por Cartas,Force sua sorte,Seleção de Cartas,Toma essa",6.42,6.35,159,2 jogadores ,2070º,60 min,Star Wars: Empire vs. Rebellion, (2014)
 14 + ,"Ryan Barger,Dimitri Bielak,John Blanche,Matt Bradbury,Christopher Burdett,Jon Cave,Víctor Pérez Corbella,Kevin Crossley,Wayne England,Zach Graves,David Griffith,Ilich Henriquez,Nikolaus Ingeniri,Taylor Ingvarsson,Igor Kieryluk,Mathias Kollros",John Goodenough,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/362_t.jpg,"Jogadores com Diferentes Habilidades,Rolagem de Dados,Rolar e Mover",7.27,6.35,13,2 a 4 jogadores ,2062º,180 min,Relic, (2013)
 7 + ,"Franz Marc,Han Zou","Steven Poelzing,Alf Seegert",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/6730_t.jpg,"Gestão de Mão,Construção a partir de Modelo,Reconhecimento de Padrão,Rolagem de Dados",7.43,6.35,11,2 a 4 jogadores ,2065º,40 min,Cubist, (2014)
 6 + ,Victor Boden,"Jens-Peter Schliemann,Bernhard Weber",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1722_t.jpg,"Memória,Sistema de Pontos de Ação",7.15,6.35,15,2 a 4 jogadores ,2063º,30 min,Château Roquefort, (2007)
 10 + ,Franz Vohwinkel,Werner Hodel,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/4890_t.jpg,"Movimento em Grades,Pegar e Entregar,Tabuleiro Modular",7.45,6.36,11,3 a 5 jogadores ,2056º,45 min,Mississippi Queen (First Edition), (1997)
 8 + ,,Dominique Ehrhard,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/6081_t.jpg,Gestão de Mão,6.82,6.36,26,3 a 6 jogadores ,2057º,30 min,Don Pepe, (1999)
 10 + ,Victor Boden,Heinz Meister,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/5546_t.jpg,"Ação Simultânea,Movimento Ponto-a-Ponto",7.36,6.36,12,3 a 5 jogadores ,2054º,60 min,Avanti, (2011)
 12 + ,"Luis Francisco,Gary Simpson",Sean Ross,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1040_t.jpg,"Gestão de Mão,Apostas,Vazas/Truques",7.02,6.36,18,2 a 3 jogadores ,2055º,45 min,Haggis, (2010)
 14 + ,Iaggo Piffero,Iaggo Piffero,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/18953_t.jpg,"Desenhar,Jogadores com Diferentes Habilidades,Papel e Caneta,Posicionamento Secreto,Reconhecimento de Padrão,Dedução,Memória",7.29,6.36,13,2 jogadores ,2051º,20 min,Sudokiller, (2018)
 16 + ,"Renato Sasdelli,Thiago Brito,Yuri Fang",Renato Sasdelli,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10619_t.jpg,"Gestão de Mão,Campanha/ Batalhas Dirigidas por Cartas,Eliminação de Jogadores,Jogadores com Diferentes Habilidades,Toma essa",6.90,6.35,22,4 a 9 jogadores ,2060º,45 min,Máfia Submundo, (2009)
 10 + ,Harald Lieske,Kristian Amundsen Østby,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/787_t.jpg,"Ação Simultânea,Colecionar Componentes,Colocação de Peças,Leilão",6.93,6.36,21,3 a 6 jogadores ,2053º,60 min,Hotel Samoa, (2010)
 14 + ,"William Bricker,Benjamin Shulman",Scott Almes,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/12490_t.jpg,"Controle/Influência de Área,Jogadores com Diferentes Habilidades,Leilão,Movimento de Área,Ordem de Fases Variável,Sistema de Pontos de Ação,Toma essa",7.37,6.36,12,1 a 5 jogadores ,2052º,45 min,Ultra-Tiny Epic Kingdoms, (2016)
 10 + ,,"Sam Mitschke,Philip Reed",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/5891_t.jpg,Rolagem de Dados,7.64,6.38,10,3 a 6 jogadores ,2023º,20 min,Mars Attacks: The Dice Game, (2014)
 10 + ,Konstantin Zheludev,Daniel Fehr,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/20422_t.jpg,"Cooperativo,Reconhecimento de Padrão,Dedução",7.10,6.35,16,3 a 5 jogadores ,2059º,15 min,Narabi, (2018)
 15 + ,,,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/6967_t.jpg,"Gestão de Mão,Ordem de Fases Variável",7.35,6.37,13,4 a 7 jogadores ,2024º,60 min,Ave Cesar, (2013)
 12 + ,"Karim Chakroun,Mark Churms,Tom Dalgliesh,Jerry Taylor",Jerry Taylor,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1504_t.jpg,"Ação Simultânea,Gestão de Mão,Campanha/ Batalhas Dirigidas por Cartas,Impulso de Área,Movimento de Área,Posicionamento Secreto,Rolagem de Dados",7.53,6.38,11,2 jogadores ,2019º,150 min,Hammer of the Scots, (2002)
