age,artist,designer,dominio,imagem,mecanicas,media,notaRank,notas,numOfPlayers,position,timeOfPlay,title,year
 14 + ,"Roland MacDonald,Benjamin Shulman",Scott Almes,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/19280_t.jpg,"Ação / Movimento Programado,Controle/Influência de Área,Jogadores com Diferentes Habilidades,Movimento em Grades,Tabuleiro Modular,Toma essa",7.89,6.50,12,2 a 4 jogadores ,1796º,60 min,Tiny Epic Mechs, (2019)
 10 + ,Sabrina Miramon,"Stan Kordonskiy,Mike Nudd",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/15167_t.jpg,"Alocação de Trabalhadores,Ordem de Fases Variável,Rolagem de Dados,Sistema de Pontos de Ação",8.03,6.50,11,1 a 4 jogadores ,1793º,90 min,Dice Hospital, (2018)
 8 + ,"Oliver Freudenreich,Dietrich Lange,Matthias Wittig",Wolfgang Kramer,"Jogos Familiares,Jogos Expert,Jogos Infantis",https://storage.googleapis.com/ludopedia-capas/2796_t.jpg,"Posicionamento Secreto,Rolar e Mover,Blefe,Dedução",6.97,6.50,35,2 a 7 jogadores ,1799º,30 min,Heimlich & Co. (Top Secret Spies), (1984)
 10 + ,Luis Francisco,Jordy Adan,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/24487_t.jpg,"Ação Simultânea,Papel e Caneta",7.38,6.50,19,1 a 99 jogadores ,1789º,20 min,Atol, (2020)
 14 + ,Diego Sá,Gustavo Barreto,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/26196_t.jpg,"Gestão de Mão,Jogo em Equipe",7.80,6.50,13,2 a 6 jogadores ,1788º,30 min,Marvel Spider-Web, (2020)
 8 + ,"Xavier Collette,Vincent Poulard,Gavin Schmitt",Dave Chalker,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1181_t.jpg,"Ação Simultânea,Gestão de Mão,Eliminação de Jogadores,Blefe,Campanha/ Batalhas Dirigidas por Cartas,Force sua sorte,Posicionamento Secreto",6.56,6.50,271,2 a 6 jogadores ,1787º,20 min,Get Bit!, (2007)
 13 + ,Ryan Laukat,Ryan Laukat,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/3640_t.jpg,"Gestão de Mão,Alocação de Trabalhadores,Colecionar Componentes,Controle/Influência de Área,Seleção de Cartas",8.17,6.50,10,2 a 4 jogadores ,1797º,60 min,The Ancient World, (2014)
 12 + ,Ryan Laukat,Ryan Laukat,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/15126_t.jpg,"Leilão,Mercado de Ações",7.55,6.50,16,2 a 5 jogadores ,1790º,60 min,Klondike Rush, (2017)
 9 + ,"Fábio Fontes,Jen Frichot,Danny Hirajeta,Katrina Lin,Victoria Parker,D. Brad Talton, Jr.","D. Brad Talton, Jr.",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1414_t.jpg,"Ação Simultânea,Gestão de Mão,Jogadores com Diferentes Habilidades",8.18,6.50,10,2 a 4 jogadores ,1794º,15 min,BattleCON: War of Indines, (2010)
 8 + ,"Marko Fiedler,Claus Stephan",Wolfgang Panning,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/324_t.jpg,"Colocação de Peças,Alocação de Trabalhadores",7.90,6.50,12,2 a 4 jogadores ,1791º,40 min,Maharani, (2012)
